StartTime,EndTime,HeatDemand,ElectricityPrice,Boilers,NetProductionCost
09/02/2023 20.00.00,09/02/2023 21.00.00,"6,86","625,29","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-88,283"
09/02/2023 20.00.00,09/02/2023 21.00.00,"6,86","625,29","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,652, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-88,283"
09/02/2023 21.00.00,09/02/2023 22.00.00,"6,83","621,34","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-77,618"
09/02/2023 21.00.00,09/02/2023 22.00.00,"6,83","621,34","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,646, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-77,618"
09/02/2023 22.00.00,09/02/2023 23.00.00,"6,86","624,62","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-86,474"
09/02/2023 22.00.00,09/02/2023 23.00.00,"6,86","624,62","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,652, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-86,474"
09/02/2023 23.00.00,10/02/2023 00.00.00,"6,78","620,15","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-74,405"
09/02/2023 23.00.00,10/02/2023 00.00.00,"6,78","620,15","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,636, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-74,405"
10/02/2023 00.00.00,10/02/2023 01.00.00,"6,8","580,99","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","31,327"
10/02/2023 00.00.00,10/02/2023 01.00.00,"6,8","580,99","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,64, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","31,327"
10/02/2023 01.00.00,10/02/2023 02.00.00,"6,8","592,3","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","0,79"
10/02/2023 01.00.00,10/02/2023 02.00.00,"6,8","592,3","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,64, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","0,79"
